WORD,FREQUENCY,PHONEME_LENGTH,MONOMORPHEME,ORTHO_LENGTH,LOG_FREQ,LANG
der,658014,3,TRUE,3,13.3969814866769,German
und,150507,3,TRUE,3,11.9217648737173,German
sein,116421,4,TRUE,4,11.6649682103783,German
in,110326,2,TRUE,2,11.6111948982254,German
ein,99594,3,TRUE,3,11.5088572007943,German
werden,69018,6,TRUE,6,11.1421226191241,German
zu,61658,2,TRUE,2,11.0293582649751,German
haben,59535,5,TRUE,5,10.9943196538853,German
von,55870,3,TRUE,3,10.9307828424532,German
mit,51236,3,TRUE,3,10.844197688951,German
sie,48784,2,TRUE,3,10.795157669228,German
nicht,47745,4,TRUE,5,10.7736296283843,German
er,47604,2,TRUE,2,10.7706720703023,German
es,45420,2,TRUE,2,10.7237078156595,German
sich,44858,3,TRUE,4,10.7112572239328,German
auf,44102,3,TRUE,3,10.6942604118805,German
ich,42688,2,TRUE,3,10.6616731292753,German
fuer,39376,3,TRUE,4,10.5809117726308,German
dieser,35584,5,TRUE,6,10.4796513776103,German
dass,35188,3,TRUE,4,10.4684603943726,German
an,29806,2,TRUE,2,10.3024649945087,German
als,28842,3,TRUE,3,10.269587937122,German
auch,28836,3,TRUE,4,10.2693798855245,German
koennen,25016,5,TRUE,7,10.1272708991377,German
wir,24902,3,TRUE,3,10.1227034005124,German
aus,23098,3,TRUE,3,10.047501312675,German
wie,21448,2,TRUE,3,9.97338667991579,German
aber,20772,4,TRUE,4,9.94136120496421,German
nach,20690,3,TRUE,4,9.93740577073959,German
so,20116,2,TRUE,2,9.90927079729186,German
noch,19041,3,TRUE,4,9.85434982797458,German
bei,17819,3,TRUE,3,9.78802058272741,German
nur,17252,3,TRUE,3,9.75568335776773,German
um,17013,2,TRUE,2,9.74173303668214,German
ueber,16629,4,TRUE,5,9.71890343808791,German
man,16296,3,TRUE,3,9.69867495790664,German
all,15978,2,TRUE,3,9.67896805504199,German
vor,14806,3,TRUE,3,9.60278778300304,German
muessen,14287,5,TRUE,7,9.56710531186516,German
durch,14270,4,TRUE,5,9.56591471047088,German
wenn,14070,3,TRUE,4,9.55180015010843,German
ja,13998,2,TRUE,2,9.54666974124948,German
oder,13242,4,TRUE,4,9.49114887548479,German
Jahr,12872,3,TRUE,4,9.46280968867222,German
viel,12545,3,TRUE,4,9.43707745880052,German
ihr,12458,2,TRUE,3,9.43011826581409,German
einer,12334,5,TRUE,5,9.42011495555144,German
sagen,12159,5,TRUE,5,9.40582491529642,German
einen,11715,5,TRUE,5,9.3686253509419,German
was,11202,3,TRUE,3,9.32384761276978,German
sollen,11138,5,TRUE,6,9.31811796414961,German
